,model,k,mutations,section
117,CNN_onehot_pretrained,4,stem_right,0.8226726263710331
118,CNN_onehot_pretrained,4,strech_right,0.5695895614092575
119,CNN_onehot_pretrained,4,pad_right,0.9064101167696904
120,CNN_onehot_pretrained,5,base,0.8617734241238593
121,CNN_onehot_pretrained,5,pad_left,0.8326974727007547
122,CNN_onehot_pretrained,5,stretch_left,0.8254132267094447
123,CNN_onehot_pretrained,5,stem_left,0.7888864141904101
124,CNN_onehot_pretrained,5,loop,0.8715319901360604
125,CNN_onehot_pretrained,5,stem_right,0.7575817905454998
126,CNN_onehot_pretrained,5,strech_right,0.486603577643805
127,CNN_onehot_pretrained,5,pad_right,0.8530147122760791
128,CNN_onehot_pretrained,6,base,0.9005503132785996
129,CNN_onehot_pretrained,6,pad_left,0.8649820106934883
130,CNN_onehot_pretrained,6,stretch_left,0.8750527570113166
131,CNN_onehot_pretrained,6,stem_left,0.8505238729900341
132,CNN_onehot_pretrained,6,loop,0.9204841294271332
133,CNN_onehot_pretrained,6,stem_right,0.7891997567715416
134,CNN_onehot_pretrained,6,strech_right,0.4332287346504865
135,CNN_onehot_pretrained,6,pad_right,0.9088873040251514
136,CNN_onehot_pretrained,7,base,0.9595878208633016
137,CNN_onehot_pretrained,7,pad_left,0.921119770045038
138,CNN_onehot_pretrained,7,stretch_left,0.929715499739028
139,CNN_onehot_pretrained,7,stem_left,0.8992026991878463
140,CNN_onehot_pretrained,7,loop,0.9692682881886276
141,CNN_onehot_pretrained,7,stem_right,0.8637461963369288
142,CNN_onehot_pretrained,7,strech_right,0.5258157641644065
143,CNN_onehot_pretrained,7,pad_right,0.9466729322981342
144,CNN_onehot_pretrained,8,base,0.937729193265738
145,CNN_onehot_pretrained,8,pad_left,0.9229152801232208
146,CNN_onehot_pretrained,8,stretch_left,0.9171603368987996
147,CNN_onehot_pretrained,8,stem_left,0.8901208344421676
148,CNN_onehot_pretrained,8,loop,0.9423399926613238
149,CNN_onehot_pretrained,8,stem_right,0.8582492966234083
150,CNN_onehot_pretrained,8,strech_right,0.529711581723077
151,CNN_onehot_pretrained,8,pad_right,0.9336165010984376
152,CNN_onehot_pretrained,9,base,0.8754956092528553
153,CNN_onehot_pretrained,9,pad_left,0.8468811584150662
154,CNN_onehot_pretrained,9,stretch_left,0.8226453596032629
155,CNN_onehot_pretrained,9,stem_left,0.8057683826102352
156,CNN_onehot_pretrained,9,loop,0.887804045348995
157,CNN_onehot_pretrained,9,stem_right,0.7715115597306251
158,CNN_onehot_pretrained,9,strech_right,0.4451348169174457
159,CNN_onehot_pretrained,9,pad_right,0.8642532877497496
160,CNN_matrix,0,base,0.9023279651438676
161,CNN_matrix,0,pad_left,0.8909588712090659
162,CNN_matrix,0,stretch_left,0.8292122136634578
163,CNN_matrix,0,stem_left,0.7772904669845937
164,CNN_matrix,0,loop,0.9035346571155772
165,CNN_matrix,0,stem_right,0.7758429122327637
166,CNN_matrix,0,strech_right,0.4761739144582421
167,CNN_matrix,0,pad_right,0.8870852194779877
168,CNN_matrix,1,base,0.937707992603204
169,CNN_matrix,1,pad_left,0.9385834822987412
170,CNN_matrix,1,stretch_left,0.9104700495721773
171,CNN_matrix,1,stem_left,0.7497043951231587
172,CNN_matrix,1,loop,0.9497589136401768
173,CNN_matrix,1,stem_right,0.7258310249431931
174,CNN_matrix,1,strech_right,0.610830303234148
175,CNN_matrix,1,pad_right,0.9404939732407146
176,CNN_matrix,2,base,0.9460167745584804
177,CNN_matrix,2,pad_left,0.9408228903485376
178,CNN_matrix,2,stretch_left,0.8999286461274559
179,CNN_matrix,2,stem_left,0.7104892682040633
180,CNN_matrix,2,loop,0.9465137633105458
181,CNN_matrix,2,stem_right,0.7241205339128262
182,CNN_matrix,2,strech_right,0.5795908393898334
