,model,k,mutations,section,base,diff_abs,diff_rel
0,CNN_onehot,0,base,0.9232188952205482,0.9232188952205482,0.0,0.0
1,CNN_onehot,0,pad_left,0.9000701688630607,0.9232188952205482,0.023148726357487548,0.025073930437653713
2,CNN_onehot,0,stretch_left,0.879372943536542,0.9232188952205482,0.04384595168400618,0.04749247649825428
3,CNN_onehot,0,stem_left,0.9086850175891058,0.9232188952205482,0.014533877631442427,0.01574261283719769
4,CNN_onehot,0,loop,0.9313563044500072,0.9232188952205482,-0.008137409229458936,-0.008814171017930583
5,CNN_onehot,0,stem_right,0.8968532548242626,0.9232188952205482,0.02636564039628564,0.02855838472628658
6,CNN_onehot,0,strech_right,0.42972549903089696,0.9232188952205482,0.49349339618965127,0.5345356326050501
7,CNN_onehot,0,pad_right,0.915977841007146,0.9232188952205482,0.007241054213402265,0.007843269078318005
8,CNN_onehot,1,base,0.9294411428633056,0.9294411428633056,0.0,0.0
9,CNN_onehot,1,pad_left,0.9024907217337008,0.9294411428633056,0.026950421129604774,0.02899637199896199
10,CNN_onehot,1,stretch_left,0.9017606046760366,0.9294411428633056,0.02768053818726901,0.029781916154469235
11,CNN_onehot,1,stem_left,0.9110362412958656,0.9294411428633056,0.018404901567440013,0.019802116259605707
12,CNN_onehot,1,loop,0.9256931860806488,0.9294411428633056,0.003747956782656825,0.004032484263727154
13,CNN_onehot,1,stem_right,0.8792271920250699,0.9294411428633056,0.050213950838235655,0.054025960894675706
14,CNN_onehot,1,strech_right,0.4078229194515318,0.9294411428633056,0.5216182234117738,0.5612170576017733
15,CNN_onehot,1,pad_right,0.9228986985430802,0.9294411428633056,0.006542444320225438,0.007039116323245942
16,CNN_onehot,2,base,0.8200925863987091,0.8200925863987091,0.0,0.0
17,CNN_onehot,2,pad_left,0.7877523915635215,0.8200925863987091,0.032340194835187575,0.039434809400245685
18,CNN_onehot,2,stretch_left,0.7752514492355141,0.8200925863987091,0.04484113716319493,0.054678139891627175
19,CNN_onehot,2,stem_left,0.8087390006197239,0.8200925863987091,0.011353585778985154,0.013844273155598663
20,CNN_onehot,2,loop,0.8258483820028749,0.8200925863987091,-0.0057557956041658365,-0.007018470474707383
21,CNN_onehot,2,stem_right,0.7923531933937198,0.8200925863987091,0.027739393004989288,0.033824708898786526
22,CNN_onehot,2,strech_right,0.401918725598774,0.8200925863987091,0.41817386079993507,0.509910548803119
23,CNN_onehot,2,pad_right,0.8130850185025361,0.8200925863987091,0.0070075678961729615,0.008544849706476954
24,CNN_onehot,3,base,0.8744659130563858,0.8744659130563858,0.0,0.0
25,CNN_onehot,3,pad_left,0.8480721852595444,0.8744659130563858,0.02639372779684135,0.030182683398820465
26,CNN_onehot,3,stretch_left,0.8174683085441479,0.8744659130563858,0.0569976045122379,0.06517990428354492
27,CNN_onehot,3,stem_left,0.8583903868022569,0.8744659130563858,0.01607552625412889,0.01838325086674053
28,CNN_onehot,3,loop,0.8810115613962691,0.8744659130563858,-0.006545648339883359,-0.007485309881325675
29,CNN_onehot,3,stem_right,0.8309539310659722,0.8744659130563858,0.04351198199041362,0.049758351172698
30,CNN_onehot,3,strech_right,0.3406287722648616,0.8744659130563858,0.5338371407915241,0.6104722126053896
31,CNN_onehot,3,pad_right,0.8645113258559475,0.8744659130563858,0.009954587200438292,0.011383619477682738
32,CNN_onehot,4,base,0.8333109989365999,0.8333109989365999,0.0,0.0
33,CNN_onehot,4,pad_left,0.8085333467058257,0.8333109989365999,0.024777652230774216,0.029733979585524928
34,CNN_onehot,4,stretch_left,0.7832939084209766,0.8333109989365999,0.05001709051562331,0.060022117288084376
35,CNN_onehot,4,stem_left,0.8236672265547599,0.8333109989365999,0.009643772381839999,0.01157283702500811
36,CNN_onehot,4,loop,0.8365197931304046,0.8333109989365999,-0.0032087941938047093,-0.0038506562350664186
37,CNN_onehot,4,stem_right,0.8010492624107299,0.8333109989365999,0.032261736525869944,0.03871512144570233
38,CNN_onehot,4,strech_right,0.4161370944304405,0.8333109989365999,0.4171739045061594,0.500622102718578
39,CNN_onehot,4,pad_right,0.8240105591899326,0.8333109989365999,0.009300439746667277,0.011160826820401648
40,CNN_onehot,5,base,0.8451315812442614,0.8451315812442614,0.0,0.0
41,CNN_onehot,5,pad_left,0.8274593292533056,0.8451315812442614,0.01767225199095579,0.020910651528295077
42,CNN_onehot,5,stretch_left,0.8121481980379347,0.8451315812442614,0.032983383206326655,0.039027512328632
43,CNN_onehot,5,stem_left,0.8340759499545168,0.8451315812442614,0.011055631289744516,0.013081550299502087
44,CNN_onehot,5,loop,0.8546681685184223,0.8451315812442614,-0.009536587274160957,-0.011284144961333231
45,CNN_onehot,5,stem_right,0.8280637836826128,0.8451315812442614,0.017067797561648557,0.020195432214851317
46,CNN_onehot,5,strech_right,0.4088187091815137,0.8451315812442614,0.43631287206274766,0.5162662025011272
47,CNN_onehot,5,pad_right,0.8376390104357531,0.8451315812442614,0.007492570808508292,0.008865567178873102
48,CNN_onehot,6,base,0.8986434917496418,0.8986434917496418,0.0,0.0
49,CNN_onehot,6,pad_left,0.8715162276433894,0.8986434917496418,0.027127264106252325,0.03018690321056694
50,CNN_onehot,6,stretch_left,0.8606850655776145,0.8986434917496418,0.03795842617202727,0.042239694072810696
51,CNN_onehot,6,stem_left,0.8821300774579033,0.8986434917496418,0.01651341429173847,0.01837593488780198
52,CNN_onehot,6,loop,0.9049749863911488,0.8986434917496418,-0.006331494641507063,-0.00704561341581611
53,CNN_onehot,6,stem_right,0.8347955345793704,0.8986434917496418,0.06384795717027136,0.07104926231197717
